Svalbard	High risk
Swaziland	High risk
Sweden	No risk
Switzerland	No risk
Syria	High risk
T	
Country	Risk level
Tahiti	No risk
Taiwan	Low risk
Tajikistan	High risk
Tanzania	High risk
Thailand	High risk
Tibet	High risk
Timor-Leste	High risk
Togo	High risk
Tokelau	No risk
Tonga	No risk
Trinidad and Tobago	Low risk
Tunisia	High risk
Türkiye	High risk
Turkmenistan	High risk
Turks and Caicos Islands	No risk
Tuvalu	No risk
U	
Country	Risk level
Uganda	High risk
Ukraine	High risk
United Arab Emirates	Low risk
United Kingdom	No risk in animals. Low risk in bats
United Kingdom – imported animal	Contact RIgS
United States of America	Low risk but foxes, skunks and racoons are high risk
Uruguay	High risk
Uzbekistan	High risk
V	
Country	Risk level
Vanuatu	No risk
Venezuela	High risk
Vietnam	High risk
Virgin Islands	No risk
W	
Country	Risk level
Wake Island and the US Pacific Islands	virus
Wallis and Futuna Islands	No risk
Western Sahara	High risk
Y	
Country	Risk level
Yemen	High risk
Z	
Country	Risk level
Zambia	High risk
Zanzibar	High risk
Zimbabwe	
	
* This dataset is for the purposes of this exercise only 	
